date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2011-05-01T00:00:00,TPCP,GHCND:IZ000040665,51,0,0,Iraq,TPCP
2011-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-10-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-11-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-12-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2012-01-01T00:00:00,TPCP,GHCND:IZ000040665,107,0,0,Iraq,TPCP
2012-02-01T00:00:00,TPCP,GHCND:IZ000040665,10,0,0,Iraq,TPCP
2012-03-01T00:00:00,TPCP,GHCND:IZ000040665,20,0,0,Iraq,TPCP
2012-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2012-05-01T00:00:00,TPCP,GHCND:IZ000040665,35,0,0,Iraq,TPCP
2013-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-10-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2013-11-01T00:00:00,TPCP,GHCND:IZ000040665,60,0,0,Iraq,TPCP
2013-12-01T00:00:00,TPCP,GHCND:IZ000040665,310,0,0,Iraq,TPCP
2014-01-01T00:00:00,TPCP,GHCND:IZ000040665,473,0,0,Iraq,TPCP
2014-02-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-03-01T00:00:00,TPCP,GHCND:IZ000040665,337,0,0,Iraq,TPCP
2014-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-05-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-10-01T00:00:00,TPCP,GHCND:IZ000040665,259,0,0,Iraq,TPCP
2014-11-01T00:00:00,TPCP,GHCND:IZ000040665,426,0,0,Iraq,TPCP
2014-12-01T00:00:00,TPCP,GHCND:IZ000040665,48,0,0,Iraq,TPCP
2015-01-01T00:00:00,TPCP,GHCND:IZ000040665,33,0,0,Iraq,TPCP
2015-02-01T00:00:00,TPCP,GHCND:IZ000040665,235,0,0,Iraq,TPCP
2015-03-01T00:00:00,TPCP,GHCND:IZ000040665,138,0,0,Iraq,TPCP
2015-04-01T00:00:00,TPCP,GHCND:IZ000040665,8,0,0,Iraq,TPCP
2015-05-01T00:00:00,TPCP,GHCND:IZ000040665,46,0,0,Iraq,TPCP
2015-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-07-01T00:00:00,TPCP,GHCND:IZ000040665,71,0,0,Iraq,TPCP
2015-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-10-01T00:00:00,TPCP,GHCND:IZ000040665,76,0,0,Iraq,TPCP
2015-11-01T00:00:00,TPCP,GHCND:IZ000040665,541,0,0,Iraq,TPCP
2010-02-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2010-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-10-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-11-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-12-01T00:00:00,TPCP,GHCND:IZ000040665,41,0,0,Iraq,TPCP
2011-01-01T00:00:00,TPCP,GHCND:IZ000040665,15,0,0,Iraq,TPCP
2011-02-01T00:00:00,TPCP,GHCND:IZ000040665,40,0,0,Iraq,TPCP
2011-03-01T00:00:00,TPCP,GHCND:IZ000040665,59,0,0,Iraq,TPCP
2011-04-01T00:00:00,TPCP,GHCND:IZ000040665,84,0,0,Iraq,TPCP
2011-05-01T00:00:00,TPCP,GHCND:IZ000040665,51,0,0,Iraq,TPCP
2011-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-10-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-11-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-12-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2012-01-01T00:00:00,TPCP,GHCND:IZ000040665,107,0,0,Iraq,TPCP
2012-02-01T00:00:00,TPCP,GHCND:IZ000040665,10,0,0,Iraq,TPCP
2012-03-01T00:00:00,TPCP,GHCND:IZ000040665,20,0,0,Iraq,TPCP
2012-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2012-05-01T00:00:00,TPCP,GHCND:IZ000040665,35,0,0,Iraq,TPCP
2013-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-10-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2013-11-01T00:00:00,TPCP,GHCND:IZ000040665,60,0,0,Iraq,TPCP
2013-12-01T00:00:00,TPCP,GHCND:IZ000040665,310,0,0,Iraq,TPCP
2014-01-01T00:00:00,TPCP,GHCND:IZ000040665,473,0,0,Iraq,TPCP
2014-02-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-03-01T00:00:00,TPCP,GHCND:IZ000040665,337,0,0,Iraq,TPCP
2014-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-05-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-10-01T00:00:00,TPCP,GHCND:IZ000040665,259,0,0,Iraq,TPCP
2014-11-01T00:00:00,TPCP,GHCND:IZ000040665,426,0,0,Iraq,TPCP
2014-12-01T00:00:00,TPCP,GHCND:IZ000040665,48,0,0,Iraq,TPCP
2015-01-01T00:00:00,TPCP,GHCND:IZ000040665,33,0,0,Iraq,TPCP
2015-02-01T00:00:00,TPCP,GHCND:IZ000040665,235,0,0,Iraq,TPCP
2015-03-01T00:00:00,TPCP,GHCND:IZ000040665,138,0,0,Iraq,TPCP
2015-04-01T00:00:00,TPCP,GHCND:IZ000040665,8,0,0,Iraq,TPCP
2015-05-01T00:00:00,TPCP,GHCND:IZ000040665,46,0,0,Iraq,TPCP
2015-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-07-01T00:00:00,TPCP,GHCND:IZ000040665,71,0,0,Iraq,TPCP
2015-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-10-01T00:00:00,TPCP,GHCND:IZ000040665,76,0,0,Iraq,TPCP
2015-11-01T00:00:00,TPCP,GHCND:IZ000040665,541,0,0,Iraq,TPCP
2010-02-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2010-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-10-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-11-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2010-12-01T00:00:00,TPCP,GHCND:IZ000040665,41,0,0,Iraq,TPCP
2011-01-01T00:00:00,TPCP,GHCND:IZ000040665,15,0,0,Iraq,TPCP
2011-02-01T00:00:00,TPCP,GHCND:IZ000040665,40,0,0,Iraq,TPCP
2011-03-01T00:00:00,TPCP,GHCND:IZ000040665,59,0,0,Iraq,TPCP
2011-04-01T00:00:00,TPCP,GHCND:IZ000040665,84,0,0,Iraq,TPCP
2011-05-01T00:00:00,TPCP,GHCND:IZ000040665,51,0,0,Iraq,TPCP
2011-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-10-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-11-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2011-12-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2012-01-01T00:00:00,TPCP,GHCND:IZ000040665,107,0,0,Iraq,TPCP
2012-02-01T00:00:00,TPCP,GHCND:IZ000040665,10,0,0,Iraq,TPCP
2012-03-01T00:00:00,TPCP,GHCND:IZ000040665,20,0,0,Iraq,TPCP
2012-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2012-05-01T00:00:00,TPCP,GHCND:IZ000040665,35,0,0,Iraq,TPCP
2013-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2013-10-01T00:00:00,TPCP,GHCND:IZ000040665,5,0,0,Iraq,TPCP
2013-11-01T00:00:00,TPCP,GHCND:IZ000040665,60,0,0,Iraq,TPCP
2013-12-01T00:00:00,TPCP,GHCND:IZ000040665,310,0,0,Iraq,TPCP
2014-01-01T00:00:00,TPCP,GHCND:IZ000040665,473,0,0,Iraq,TPCP
2014-02-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-03-01T00:00:00,TPCP,GHCND:IZ000040665,337,0,0,Iraq,TPCP
2014-04-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-05-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-07-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2014-10-01T00:00:00,TPCP,GHCND:IZ000040665,259,0,0,Iraq,TPCP
2014-11-01T00:00:00,TPCP,GHCND:IZ000040665,426,0,0,Iraq,TPCP
2014-12-01T00:00:00,TPCP,GHCND:IZ000040665,48,0,0,Iraq,TPCP
2015-01-01T00:00:00,TPCP,GHCND:IZ000040665,33,0,0,Iraq,TPCP
2015-02-01T00:00:00,TPCP,GHCND:IZ000040665,235,0,0,Iraq,TPCP
2015-03-01T00:00:00,TPCP,GHCND:IZ000040665,138,0,0,Iraq,TPCP
2015-04-01T00:00:00,TPCP,GHCND:IZ000040665,8,0,0,Iraq,TPCP
2015-05-01T00:00:00,TPCP,GHCND:IZ000040665,46,0,0,Iraq,TPCP
2015-06-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-07-01T00:00:00,TPCP,GHCND:IZ000040665,71,0,0,Iraq,TPCP
2015-08-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-09-01T00:00:00,TPCP,GHCND:IZ000040665,0,0,0,Iraq,TPCP
2015-10-01T00:00:00,TPCP,GHCND:IZ000040665,76,0,0,Iraq,TPCP
2015-11-01T00:00:00,TPCP,GHCND:IZ000040665,541,0,0,Iraq,TPCP
2010-02-01T00:00:00,EMXP,GHCND:IZ000040665,5,0,0,Iraq,EMXP
2010-08-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2010-09-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2010-10-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2010-11-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2010-12-01T00:00:00,EMXP,GHCND:IZ000040665,41,0,0,Iraq,EMXP
2011-01-01T00:00:00,EMXP,GHCND:IZ000040665,15,0,0,Iraq,EMXP
2011-02-01T00:00:00,EMXP,GHCND:IZ000040665,30,0,0,Iraq,EMXP
2011-03-01T00:00:00,EMXP,GHCND:IZ000040665,51,0,0,Iraq,EMXP
2011-04-01T00:00:00,EMXP,GHCND:IZ000040665,84,0,0,Iraq,EMXP
2011-05-01T00:00:00,EMXP,GHCND:IZ000040665,51,0,0,Iraq,EMXP
2011-06-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-07-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-08-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-09-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-10-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-11-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2011-12-01T00:00:00,EMXP,GHCND:IZ000040665,5,0,0,Iraq,EMXP
2012-01-01T00:00:00,EMXP,GHCND:IZ000040665,51,0,0,Iraq,EMXP
2012-02-01T00:00:00,EMXP,GHCND:IZ000040665,5,0,0,Iraq,EMXP
2012-03-01T00:00:00,EMXP,GHCND:IZ000040665,10,0,0,Iraq,EMXP
2012-04-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2012-05-01T00:00:00,EMXP,GHCND:IZ000040665,30,0,0,Iraq,EMXP
2013-06-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2013-07-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2013-08-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2013-09-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2013-10-01T00:00:00,EMXP,GHCND:IZ000040665,5,0,0,Iraq,EMXP
2013-11-01T00:00:00,EMXP,GHCND:IZ000040665,30,0,0,Iraq,EMXP
2013-12-01T00:00:00,EMXP,GHCND:IZ000040665,310,0,0,Iraq,EMXP
2014-01-01T00:00:00,EMXP,GHCND:IZ000040665,251,0,0,Iraq,EMXP
2014-02-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-03-01T00:00:00,EMXP,GHCND:IZ000040665,160,0,0,Iraq,EMXP
2014-04-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-05-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-06-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-07-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-08-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-09-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2014-10-01T00:00:00,EMXP,GHCND:IZ000040665,119,0,0,Iraq,EMXP
2014-11-01T00:00:00,EMXP,GHCND:IZ000040665,231,0,0,Iraq,EMXP
2014-12-01T00:00:00,EMXP,GHCND:IZ000040665,20,0,0,Iraq,EMXP
2015-01-01T00:00:00,EMXP,GHCND:IZ000040665,33,0,0,Iraq,EMXP
2015-02-01T00:00:00,EMXP,GHCND:IZ000040665,140,0,0,Iraq,EMXP
2015-03-01T00:00:00,EMXP,GHCND:IZ000040665,79,0,0,Iraq,EMXP
2015-04-01T00:00:00,EMXP,GHCND:IZ000040665,8,0,0,Iraq,EMXP
2015-05-01T00:00:00,EMXP,GHCND:IZ000040665,41,0,0,Iraq,EMXP
2015-06-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2015-07-01T00:00:00,EMXP,GHCND:IZ000040665,71,0,0,Iraq,EMXP
2015-08-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2015-09-01T00:00:00,EMXP,GHCND:IZ000040665,0,0,0,Iraq,EMXP
2015-10-01T00:00:00,EMXP,GHCND:IZ000040665,51,0,0,Iraq,EMXP
2015-11-01T00:00:00,EMXP,GHCND:IZ000040665,269,0,0,Iraq,EMXP
